"code","name","Artista","Musica","Letra"
3512,"03512.mp4","Cravo E Canela","Coisa Boa Demais","Ai Que Coisa Boa, Coisa Boa Demais"
3513,"03513.mp4","Guilherme Arantes","Coisa Do Brasil","Foi Tão Bom Te Conhecer, Tão Fácil Te"
3514,"03514.mp4","Roupa Nova","Cristina","Sua Boca Na Minha, Seus Olhos Fechados"
3515,"03515.mp4","Roupa Nova","De Volta Pro Futuro","Sou O Mesmo Que Te Amou Não Me Diga"
3516,"03516.mp4","Grupo Tempero","Deixa Eu Te Querer","Bate Triste O Coração Sem Você Por Perto"
3517,"03517.mp4","Fagner","Deslizes","Não Sei Porque Insisto Tanto Em Te Querer"
3518,"03518.mp4","Kid Abelha","Deus (Apareça Na Televisão)","Ah Ah Ah Ah Ah Ah Ah Ah Se Ele É Deus"
3519,"03519.mp4","Leandro E Leonardo","Doce Mistério","Eu Não Sei De Onde Vem Esse Amor"
3520,"03520.mp4","Clara Nunes","É Baiana","É Baiana, Ê Ê Ê Baiana, Baianinha"
3521,"03521.mp4","Roberta Miranda","Eu Te Amo, Te Amo, Te Amo","Tanto Tempo Longe De Você"
3522,"03522.mp4","Leandro E Leonardo","Festa De Rodeio","Em Festa De Rodeio Não Dá Pra Ficar"
3523,"03523.mp4","Tiririca","Florentina","Essa Música Eu Tava Cantando Aí Na"
3524,"03524.mp4","Kid Abelha","Grand' Hotel","Se A Gente Não Tivesse Feito Tanta Coisa"
3525,"03525.mp4","Leci Brandão","Isso É Fundo De Quintal","O Que É Isso Meu Amor Venha Me Dizer"
3526,"03526.mp4","Paralamas Do Sucesso","Lanterna Dos Afogados","Quando Tá Escuro E Ninguém Te Ouve"
3527,"03527.mp4","Roupa Nova","Linda Demais","Linda Só Você Me Fascina Te Desejo"
3528,"03528.mp4","Tim Maia","Me Dê Motivo","É Engraçado Às Vezes A Gente Sente"
3529,"03529.mp4","Flor De Cheiro","Menino Lindo","Menino Lindo Eu Preciso Do Teu Beijo"
3530,"03530.mp4","Só Pra Contrariar","Nunca Mais Te Machucar","Dói Demais Saber Que Eu Errei E Não"
3531,"03531.mp4","Só Pra Contrariar","O Amor, Você E Eu","Se Olhar Nos Meus Olhos Verá O Que Tenho"
3532,"03532.mp4","Paralamas Do Sucesso","O Beco","No Beco Escuro Explode A Violência"
