code;name;artista;musica;letra
02519;02519.mp4;Minnie Riperton;Lovin' You;Lovin' You...
02520;02520.mp4;Ramones;Pet Sematary;Under The Arc Of A Weather Stain Boards...
02521;02521.mp4;Stevie Wonder;All In Love Is Fair;All Is Fair In Love...
02522;02522.mp4;Justin Bieber;Baby;Oh Uh Oh Ah Aaah...
02523;02523.mp4;Captain And Tennille;Do That To Me One More Time;Do That To Me One More Time...
02524;02524.mp4;Beyonce;Halo;Remember Those Walls I Built...
02525;02525.mp4;Andy Gibb;I Just Want To Be Your Everything;For So Long...
02526;02526.mp4;Alice Cooper;I Never Cry;If There'S A Tear On My Face...
02527;02527.mp4;Jason Mraz;I'M Yours;Well You Done Done Me And You Bet I Felt...
02528;02528.mp4;Carly Simon;Just Like You Do;If You Think You'Re Alone...
02529;02529.mp4;Malcolm Roberts;Love Is All;Yesterday I Knew The Games To Play...
02530;02530.mp4;Chris De Burg;Love Is My Decision;And When They Tell You That You'Re Crazy...
02531;02531.mp4;Century;Lover Why;A Sign Of Time...
02532;02532.mp4;Jason Mraz & Colbie Caillat;Lucky;Now Do You Hear Me I'M Talking To You...
02533;02533.mp4;Abba;Mamma Mia;I'Ve Been Cheated By You Since I Don'T...
02534;02534.mp4;Christopher Cross;Never Be The Same;It Was Good For Me Was Good For You...
02535;02535.mp4;Bee Gees;Reaching Out;Watching Every Day Go By...
02536;02536.mp4;Pholhas;She Made Me Cry;Let Me Tell My Whole Story...
02537;02537.mp4;Beyonce;Single Ladies;All The Single Ladies...
02538;02538.mp4;Beyonce;Sweet Dreams;Turn The Lights On...
02539;02539.mp4;Lionel Richie;Truly;Girl Tell Me Only This...
02540;02540.mp4;Tim Moore;Yes;Oh Oh Oh Yes Yes...
02541;02541.mp4;Amy Winehouse;Back To Black;He Left No Time To Regret...
02542;02542.mp4;Peter Frampton;Breaking All The Rules;We Are The People One And All...
02543;02543.mp4;Paramore;Crush; Crush; Crush;I Got A Lot To Say To You...
02544;02544.mp4;Barry Manilow;I Made It Through The Rain;We Dreamers Have Our Ways...
02545;02545.mp4;Michael Bublé;Lost;Can'T Believe It'S Over...
02546;02546.mp4;Amy Winehouse;Love Is A Losing Game;For You I Was The Flame...
02547;02547.mp4;Lady Antebellum;Need You Now;Picture Perfect Memories...
02548;02548.mp4;Vanessa Hudgens;Say Ok;You Are Fine You Are Sweet...
02549;02549.mp4;Chris De Burg;So Beautifull;I'M Lying Here Tonight...
02550;02550.mp4;Amy Winehouse;You Know I'M No Good;Meet You Downstairs In The Bar And Heard
02551;02551.mp4;Lady Gaga;Bad Romance;Rah-Rah Ah-Ah-Ah-Ah Roma-Roma Ma-A...
02552;02552.mp4;Carpenters;Bless The Beasts And The Children;Bless The Beasts And The Children...
02553;02553.mp4;C.C.R.;Born On The Bayou;Now When I Was Just A Little Boy...
02554;02554.mp4;Barry Manilow;Daybreak;I'M Singing To The World...
02555;02555.mp4;Johnny Mathis;My Love For You;My Love For You...
02556;02556.mp4;Madonna;One More Chance;I Turned Around Too Late To See The Fal...
02557;02557.mp4;Paramore;The Only Exception;When I Was Younger I Saw My Daddy Cry...
02558;02558.mp4;America;Tin Man;Sometimes Late When Things Are Real...
02559;02559.mp4;Joe Cocker;You Are So Beautiful;You Are So Beautiful To Me...
02560;02560.mp4;Chicago;You'Re The Inspiration;You Know Our Love Was Meant To Be...
02561;02561.mp4;Testament;Alone In The Dark;When I Was But Very Young...
02562;02562.mp4;Evanescence & Seether;Broken;I Wanted You To Know...
02563;02563.mp4;Tori Amos;Crucify;Every Finger In The Room Is Pointing At...
02564;02564.mp4;Mamas And Papas;Dancing In The Street;Callin' Out Around The World...
02565;02565.mp4;Johnny Mathis;Gina;Gina Gina...
02566;02566.mp4;Michael Bublé;Haven'T Met You Yet;I'M Not Surprised Not Everything Lasts...
02567;02567.mp4;Lady Antebellum;I Run To You;I Run From Hate...
02568;02568.mp4;Alicia Keys;No One;I Just Want You Close...
02569;02569.mp4;Adele;Rolling In The Deep;There'S A Fire Starting In My Heart...
02570;02570.mp4;Alanis Morissette;That I Would Be Good;That I Would Be Good Even If I Did Not...
02571;02571.mp4;Lady Gaga;Alejandro;I Know That We Are Young...
02572;02572.mp4;The Corrs;Everybody Hurts;When Your Day Is Long...
02573;02573.mp4;Keane;Everybody'S Changing;You Say You Wander Your Own Land...
02574;02574.mp4;Michael Bublé;Everything;You'Re A Falling Star You'Re The Getaway...
02575;02575.mp4;Johnny Mathis;Evie;There Ain'T Future In It Evie...
02576;02576.mp4;The Parlotones;Fly To The Moon;Fairytales All Tell A Lie...
02577;02577.mp4;Alphaville;Forever Young;Let'S Dance In Style Let'S Dance For...
02578;02578.mp4;4 Non Blondes;Spaceman;Starry Night Bring Me Down...
02579;02579.mp4;Johnny Rivers;Summer Rain;Summer Rain Taps At My Window...
02580;02580.mp4;Keane;This Is The Last Time;This Is The Last Time...
02581;02581.mp4;Kylie Minogue;All The Lovers;Dance It'S All I Wanna Do...
02582;02582.mp4;David Bowie;As The World Falls Down;There'S Such A Sad Love Deep In Your Eyes...
02583;02583.mp4;Travie Mccoy Feat.Bruno Mars;Billionaire;I Wanna Be A Billionaire So Frickin Bad...
02584;02584.mp4;Madonna;Borderline;Something In The Way You Love Me Won'T Let...
02585;02585.mp4;Seal;Crazy;In A Church By The Face He Talks About The...
02586;02586.mp4;Metallica;Enter Sandman;Say Your Prayers Little One Don'T Forget My...
02587;02587.mp4;Roxette;Fading Like A Flower;In A Time Where The Sun Descends Alone...
02588;02588.mp4;Pat Benatar;Fire And Ice;Ooo You'Re Givin' Me The Fever Tonight...
02589;02589.mp4;Shakira;Gypsy;Broke My Heart Down The Road...
02590;02590.mp4;The Corrs;Heart Like A Wheel;Some Say The Heart Is Just Like A Wheel...
02591;02591.mp4;Dionne Warwick E Bee Gees;Heartbreaker;I'Ve Got To Say It And It'S Hard For Me...
02592;02592.mp4;Lee Jackson;Hey Girl;Hey Girl I Hate That Sound It'S In My Brain...
02593;02593.mp4;Helen Reddy;I Am Woman;I Am Woman Hear Me Roar In Numbers...
02594;02594.mp4;Jonas Brothers;Kids Of The Future;We'Re The Kids We'Re The Kids Of The Future...
02595;02595.mp4;Simply Red;So Not Over You;Don'T Know Why I Still Slept On My Side...
02596;02596.mp4;Eagles;What Do I Do With My Heart;You Don'T Have To Say A Word...
02597;02597.mp4;Jonas Brothers;When You Look Me In The Eyes;If The Heart Is Always Searching...
02598;02598.mp4;Nightwish;Wish I Had An Angel;I Wish I Had An Angel For One Moment Of...
02599;02599.mp4;Cover Girls;Wishing On A Star;I'M Wishing On A Star To Follow Where You...
02600;02600.mp4;Adele;Someone Like You;I Heard That You'Re Settled Down...
02601;02601.mp4;Beatles;All My Loving;Close Your Eyes And I'Ll Kiss You...
02602;02602.mp4;Alannah Myles;Black Velvet;Mississippi In The Middle Of The Dry S...
02603;02603.mp4;Adele;Chasing Pavements;I'Ve Made Up My Mind...
02604;02604.mp4;Willie Nelson;City Of New Orleans;Ridin' On The City Of New Orleans...
02605;02605.mp4;The Wallflowers;Heroes;I I Wish You Could Swim Like The Dolphin...
02606;02606.mp4;Ac-Dc;Highway To Hell;Livin' Easy Lovin' Free...
02607;02607.mp4;Katy Perry;Hot N Cold;You Change Your Mind...
02608;02608.mp4;Beatles;I Call Your Name;I Call Your Name But You'Re Not There...
02609;02609.mp4;Johnny Nash;I Can See Clearly Now;I Can See Clearly Now The Rain Is Gone...
02610;02610.mp4;Katy Perry;I Kissed A Girl;This Was Never The Way I Planned...
02611;02611.mp4;Christopher Cross;I Will Take You Forever;I Was A Man...
02612;02612.mp4;Avril Lavigne;I'M With You;I'M Standin' On The Bridge...
02613;02613.mp4;Rolling Stones;Lady Jane;My Sweet Lady Jane...
